REPORTING_DT,HIGH_TEMP,DAILY_CNT
2020-05-29,112,68
2020-05-30,111,86
2020-05-31,107,138
2020-06-01,105,77
2020-06-02,107,104
2020-06-03,110,80
2020-06-04,112,99
2020-06-05,107,104
2020-06-06,93,97
2020-06-07,97,101
2020-06-08,90,77
2020-06-09,94,96
2020-06-10,105,90
2020-06-11,108,107
2020-06-12,110,138
2020-06-13,106,113
2020-06-14,107,112
2020-06-15,106,127
2020-06-16,106,140
2020-06-17,104,125
2020-06-18,103,128
2020-06-19,102,138
2020-06-20,105,128
2020-06-21,108,176
2020-06-22,109,158
2020-06-23,110,165
2020-06-24,111,170
2020-06-25,110,146
2020-06-26,110,157
2020-06-27,108,174
2020-06-28,105,166
2020-06-29,101,182
2020-06-30,100,162
2020-07-01,105,145
2020-07-02,104,129
2020-07-03,105,178
2020-07-04,110,169
2020-07-05,112,175
2020-07-06,111,183
2020-07-07,111,184
2020-07-08,111,201
2020-07-09,110,133
2020-07-10,111,229
2020-07-11,115,247
2020-07-12,116,240
2020-07-13,111,233
2020-07-14,111,239
2020-07-15,109,250
2020-07-16,111,267
2020-07-17,108,238
2020-07-18,109,247
2020-07-19,107,233
2020-07-20,103,223
2020-07-21,109,250
2020-07-22,100,239
2020-07-23,100,223
2020-07-24,104,243
2020-07-25,105,242
2020-07-26,110,241
2020-07-27,111,230
2020-07-28,115,240
2020-07-29,115,257
2020-07-30,118,249
2020-07-31,116,198
2020-08-01,111,237
2020-08-02,109,208
2020-08-03,114,237
2020-08-04,111,245
2020-08-05,112,215
2020-08-06,109,214
2020-08-07,108,218
2020-08-08,111,216
2020-08-09,112,235
2020-08-10,111,230
2020-08-11,109,220
2020-08-12,111,237
2020-08-13,115,252
2020-08-14,117,304
2020-08-15,114,264
2020-08-16,115,285
2020-08-17,115,295
2020-08-18,115,296
2020-08-19,115,280
2020-08-20,112,292
2020-08-21,100,295
2020-08-22,106,279
2020-08-23,110,302
2020-08-24,115,307
2020-08-25,112,311
2020-08-26,112,289
2020-08-27,113,322
2020-08-28,112,351
2020-08-29,103,311
2020-08-30,103,318
2020-08-31,100,310
2020-09-01,102,280
2020-09-02,102,278
2020-09-03,107,260
2020-09-04,114,270
2020-09-05,115,259
2020-09-06,113,315
2020-09-07,109,297
2020-09-08,99,272
2020-09-09,90,223
2020-09-10,93,246
2020-09-11,93,247
2020-09-12,99,224
2020-09-13,103,241
2020-09-14,105,247
2020-09-15,105,236
2020-09-16,109,265
2020-09-17,109,270
2020-09-18,107,260
2020-09-19,104,255
2020-09-20,106,263
2020-09-21,103,263
2020-09-22,103,257
2020-09-23,105,298
2020-09-24,105,303
2020-09-25,105,279
2020-09-26,103,252
2020-09-27,102,267
2020-09-28,104,266
2020-09-29,102,272
2020-09-30,105,265
